358.84,12.59,232.24,358.29,319.31,89.22,0
358.84,12.61,232.26,358.29,319.3,89.22,0.001
358.84,12.62,232.28,358.29,319.3,89.22,0.002
358.84,12.63,232.29,358.29,319.29,89.22,0.003
358.84,12.64,232.31,358.29,319.29,89.22,0.004
358.84,12.65,232.33,358.29,319.28,89.22,0.005
358.84,12.66,232.34,358.29,319.28,89.22,0.006
358.84,12.67,232.36,358.29,319.27,89.22,0.007
358.84,12.69,232.38,358.29,319.27,89.22,0.008
358.84,12.7,232.39,358.29,319.26,89.22,0.009
358.84,12.71,232.41,358.29,319.26,89.22,0.01
358.84,12.72,232.42,358.29,319.25,89.22,0.011
358.84,12.73,232.44,358.29,319.25,89.23,0.012
358.84,12.74,232.46,358.29,319.24,89.23,0.013
358.85,12.75,232.47,358.29,319.24,89.23,0.014
358.85,12.76,232.49,358.29,319.23,89.23,0.015
358.85,12.78,232.51,358.29,319.23,89.23,0.016
358.85,12.79,232.52,358.29,319.22,89.23,0.017
358.85,12.8,232.54,358.29,319.22,89.23,0.018
358.85,12.81,232.55,358.29,319.21,89.23,0.019
358.85,12.82,232.57,358.29,319.21,89.23,0.02
358.85,12.83,232.59,358.29,319.2,89.23,0.021
358.85,12.84,232.6,358.29,319.2,89.23,0.022
358.85,12.86,232.62,358.29,319.19,89.23,0.023
358.85,12.87,232.64,358.29,319.19,89.23,0.024
358.85,12.88,232.65,358.29,319.18,89.23,0.025
358.85,12.89,232.67,358.29,319.18,89.23,0.026
358.85,12.9,232.68,358.29,319.17,89.23,0.027
358.85,12.91,232.7,358.29,319.17,89.23,0.028
358.85,12.92,232.72,358.29,319.16,89.23,0.029
358.86,12.93,232.73,358.29,319.16,89.23,0.03
358.86,12.95,232.75,358.29,319.15,89.23,0.031
358.86,12.96,232.77,358.29,319.15,89.23,0.032
358.86,12.97,232.78,358.29,319.14,89.23,0.033
358.86,12.98,232.8,358.29,319.14,89.23,0.034
358.86,12.99,232.82,358.29,319.13,89.23,0.035
358.86,13,232.83,358.29,319.13,89.23,0.036
358.86,13.01,232.85,358.29,319.12,89.23,0.037
358.86,13.02,232.86,358.29,319.12,89.23,0.038
358.86,13.04,232.88,358.29,319.11,89.23,0.039
358.86,13.05,232.9,358.29,319.11,89.24,0.04
358.86,13.06,232.91,358.3,319.1,89.24,0.041
358.86,13.07,232.93,358.3,319.1,89.24,0.042
358.86,13.08,232.95,358.3,319.09,89.24,0.043
358.86,13.09,232.96,358.3,319.09,89.24,0.044
358.86,13.1,232.98,358.3,319.08,89.24,0.045
358.87,13.12,233,358.3,319.08,89.24,0.046
358.87,13.13,233.01,358.3,319.07,89.24,0.047
358.87,13.14,233.03,358.3,319.07,89.24,0.048
358.87,13.15,233.04,358.3,319.06,89.24,0.049
358.87,13.16,233.06,358.3,319.06,89.24,0.05
358.87,13.17,233.08,358.3,319.05,89.24,0.051
358.87,13.18,233.09,358.3,319.05,89.24,0.052
358.87,13.19,233.11,358.3,319.04,89.24,0.053
358.87,13.21,233.13,358.3,319.04,89.24,0.054
358.87,13.22,233.14,358.3,319.03,89.24,0.055
358.87,13.23,233.16,358.3,319.03,89.24,0.056
358.87,13.24,233.18,358.3,319.02,89.24,0.057
358.87,13.25,233.19,358.3,319.02,89.24,0.058
358.87,13.26,233.21,358.3,319.01,89.24,0.059
358.87,13.27,233.22,358.3,319.01,89.24,0.06
358.87,13.28,233.24,358.3,319,89.24,0.061
358.87,13.3,233.26,358.3,319,89.24,0.062
358.88,13.31,233.27,358.3,318.99,89.24,0.063
358.88,13.32,233.29,358.3,318.99,89.24,0.064
358.88,13.33,233.31,358.3,318.98,89.24,0.065
358.88,13.34,233.32,358.3,318.98,89.24,0.066
